mechanism_id,mechanism_name,primary_role,source_families,physical_function,status,priority_note
M01,Relational/background-independent microstructure,ORIGIN,"LQG; spin foams; GFT; causal sets; CDT",Avoid fixed classical spacetime as fundamental carrier,ESTABLISHED_EXTERNAL,High recurrence but implementations differ
M02,Fundamental causal order or Lorentzian admissibility,ORIGIN,"causal sets; CDT; Lorentzian spin foams; causal GFT variants",Protect causal structure at microscopic or history level,ESTABLISHED_EXTERNAL,High priority; must avoid hidden preferred structure
M03,Discrete or locally finite geometric substrate,ORIGIN,"causal sets; LQG; spin foams; GFT; CDT; Regge-like approaches",Provide microscopic regulator/atomicity of geometry,ESTABLISHED_EXTERNAL,Recurrence is strong but discreteness may be kinematical or regulator-dependent
M04,Quantum geometric labels on combinatorial structures,ORIGIN,"LQG; spin foams; GFT",Encode areas volumes parallel transports or representation data,ESTABLISHED_EXTERNAL,Strong bridge between canonical and covariant constructions
M05,Covariant sum over quantum geometries/histories,DYNAMICS,"spin foams; GFT; CDT; string worldsheet analogies",Generate amplitudes by summing admissible geometric histories,ESTABLISHED_EXTERNAL,Needs normalized measure and unitarity/causality control
M06,Graph/simplicial interaction-generated topology and combinatorics,DYNAMICS,"GFT; matrix/tensor models; spin foams; CDT",Allow connectivity and topology/geometry to participate dynamically,ESTABLISHED_EXTERNAL,Useful origin mechanism only if continuum sector is controlled
M07,Renormalization-group UV criticality,DYNAMICS,"asymptotic safety; GFT; tensor models; CDT continuum studies",Select UV-complete or UV-controlled trajectories and finite relevant data,ESTABLISHED_EXTERNAL,High functional value; not by itself a microscopic ontology
M08,Scale-dependent effective dimension,EMERGENT_SIGNATURE,"CDT; asymptotic safety; several discrete/noncommutative approaches",Diagnose multiscale geometry and possible Planck-regime dimensional reduction,ESTABLISHED_EXTERNAL,Signature not origin law
M09,Entanglement/information-geometric consistency,CONSTRAINT,"holography; tensor networks; causal-diamond thermodynamics; quantum-information gravity",Constrain emergent geometry entropy and boundary/bulk encoding,ESTABLISHED_EXTERNAL,Do not promote to origin without derivation of constitutive entropy/action data
M10,Extended/non-pointlike UV degrees of freedom,ORIGIN,"string theory; branes; some nonlocal QG constructions",Soften or reorganize ultraviolet interactions beyond point-particle QFT,ESTABLISHED_EXTERNAL,Potentially incompatible with strictly local atomic ontologies unless bridge supplied
M11,Noncommutative/deformed coordinate or observable algebra,EMERGENT_SIGNATURE,"noncommutative geometry; quantum groups; deformed-symmetry approaches; some LQG-inspired limits",Encode Planck-scale departure from classical coordinate algebra,ESTABLISHED_EXTERNAL,Keep optional until derived from core candidate
M12,Continuum formation by phase transition/coarse graining,DYNAMICS,"GFT condensates; CDT; tensor models; statistical/discrete QG",Produce smooth effective spacetime from many microscopic quanta,ESTABLISHED_EXTERNAL,Essential bridge task for discrete candidates
M13,Anomaly-free gauge/diffeomorphism/refoliation closure,CONSTRAINT,"canonical gravity; LQG; spin foams; continuum QG",Ensure quantum dynamics preserves or correctly deforms gravitational gauge symmetry,ESTABLISHED_EXTERNAL,Hard gate rather than optional decoration
M14,Analyticity/unitarity/causality constraints on observables,CONSTRAINT,"string amplitudes; S-matrix/QFT; gravitational EFT; bootstrap-inspired QG",Restrict admissible hard amplitudes and effective interactions,ESTABLISHED_EXTERNAL,Constraint/transport role unless microscopic origin is derived
M15,Emergent locality from nonlocal/combinatorial microphysics,DYNAMICS,"GFT; tensor networks; holography; causal sets",Explain why local continuum QFT appears despite nonlocal microscopic organization,HYPOTHESIS_ONLY,Candidate must make this bridge explicit
M16,Same-parent matter-gravity coupling,DYNAMICS,"string theory; some GFT/spinfoam matter couplings; unified algebraic approaches",Prevent gravity and matter sectors from being glued together only after continuum reconstruction,OPEN_BLOCKED,High value but insufficiently normalized across families
M17,Einstein-Hilbert plus controlled corrections in the IR,IR_TARGET,"GR/EFT; all viable QG programmes",Recover observed low-energy gravitational dynamics,ESTABLISHED_EXTERNAL,Mandatory target not a microscopic mechanism
M18,Continuum QFT propagation and approximate local Lorentz invariance,IR_TARGET,"QFT in curved spacetime; all viable QG programmes",Recover tested matter propagation and symmetry at accessible scales,ESTABLISHED_EXTERNAL,Mandatory target and strong constraint on microscopic causality
